PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2315; LNum: 0; AvTime: 0.2123; AbsError: 0.0192; RelError: 0.0903 %; TaskPerf: 556662;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2057; LNum: 1; AvTime: 0.2123; AbsError: 0.0066; RelError: 0.0310 %; TaskPerf: 626344;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2126; LNum: 2; AvTime: 0.2123; AbsError: 0.0003; RelError: 0.0015 %; TaskPerf: 606004;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2152; LNum: 3; AvTime: 0.2123; AbsError: 0.0029; RelError: 0.0136 %; TaskPerf: 598768;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2144; LNum: 4; AvTime: 0.2123; AbsError: 0.0021; RelError: 0.0100 %; TaskPerf: 600932;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2125; LNum: 5; AvTime: 0.2123; AbsError: 0.0002; RelError: 0.0012 %; TaskPerf: 606225;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2071; LNum: 6; AvTime: 0.2123; AbsError: 0.0052; RelError: 0.0246 %; TaskPerf: 622266;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2105; LNum: 7; AvTime: 0.2123; AbsError: 0.0018; RelError: 0.0083 %; TaskPerf: 611992;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2072; LNum: 8; AvTime: 0.2123; AbsError: 0.0051; RelError: 0.0241 %; TaskPerf: 621888;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2062; LNum: 9; AvTime: 0.2123; AbsError: 0.0061; RelError: 0.0286 %; TaskPerf: 624810;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1423; LNum: 0; AvTime: 0.1456; AbsError: 0.0033; RelError: 0.0224 %; TaskPerf: 905329;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1439; LNum: 1; AvTime: 0.1456; AbsError: 0.0017; RelError: 0.0116 %; TaskPerf: 895421;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1411; LNum: 2; AvTime: 0.1456; AbsError: 0.0044; RelError: 0.0305 %; TaskPerf: 912867;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1423; LNum: 3; AvTime: 0.1456; AbsError: 0.0033; RelError: 0.0224 %; TaskPerf: 905294;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1425; LNum: 4; AvTime: 0.1456; AbsError: 0.0031; RelError: 0.0214 %; TaskPerf: 904430;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1537; LNum: 5; AvTime: 0.1456; AbsError: 0.0081; RelError: 0.0558 %; TaskPerf: 838273;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1544; LNum: 6; AvTime: 0.1456; AbsError: 0.0089; RelError: 0.0609 %; TaskPerf: 834268;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1529; LNum: 7; AvTime: 0.1456; AbsError: 0.0073; RelError: 0.0503 %; TaskPerf: 842658;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1480; LNum: 8; AvTime: 0.1456; AbsError: 0.0024; RelError: 0.0164 %; TaskPerf: 870729;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1472; LNum: 9; AvTime: 0.1456; AbsError: 0.0016; RelError: 0.0108 %; TaskPerf: 875604;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1412; LNum: 10; AvTime: 0.1456; AbsError: 0.0044; RelError: 0.0304 %; TaskPerf: 912786;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1418; LNum: 11; AvTime: 0.1456; AbsError: 0.0038; RelError: 0.0260 %; TaskPerf: 908656;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1422; LNum: 12; AvTime: 0.1456; AbsError: 0.0034; RelError: 0.0233 %; TaskPerf: 906153;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1547; LNum: 13; AvTime: 0.1456; AbsError: 0.0091; RelError: 0.0626 %; TaskPerf: 832861;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1529; LNum: 14; AvTime: 0.1456; AbsError: 0.0073; RelError: 0.0499 %; TaskPerf: 842974;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1471; LNum: 15; AvTime: 0.1456; AbsError: 0.0016; RelError: 0.0107 %; TaskPerf: 875686;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1483; LNum: 16; AvTime: 0.1456; AbsError: 0.0028; RelError: 0.0189 %; TaskPerf: 868586;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1427; LNum: 17; AvTime: 0.1456; AbsError: 0.0029; RelError: 0.0198 %; TaskPerf: 902908;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1555; LNum: 18; AvTime: 0.1456; AbsError: 0.0099; RelError: 0.0678 %; TaskPerf: 828815;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1492; LNum: 19; AvTime: 0.1456; AbsError: 0.0036; RelError: 0.0246 %; TaskPerf: 863782;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1417; LNum: 20; AvTime: 0.1456; AbsError: 0.0039; RelError: 0.0270 %; TaskPerf: 909558;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1397; LNum: 21; AvTime: 0.1456; AbsError: 0.0059; RelError: 0.0402 %; TaskPerf: 922130;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1418; LNum: 22; AvTime: 0.1456; AbsError: 0.0038; RelError: 0.0263 %; TaskPerf: 908901;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1409; LNum: 23; AvTime: 0.1456; AbsError: 0.0047; RelError: 0.0323 %; TaskPerf: 914559;
